wavelength_nm; Transmission
2032; 74.82221985
2031; 74.85630035
2030; 75.03530884
2029; 75.14350128
2028; 75.32178497
2027; 75.37708282
2026; 75.47081757
2025; 75.72338867
2024; 75.76434326
2023; 75.85638428
2022; 75.97808075
2021; 76.15211487
2020; 76.20536804
2019; 76.40618896
2018; 76.51386261
2017; 76.56757355
2016; 76.81343079
2015; 76.80970764
2014; 76.9053421
2013; 77.03136444
2012; 77.16423035
2011; 77.33171844
2010; 77.44542694
2009; 77.42071533
2008; 77.4982605
2007; 77.68379211
2006; 77.74163055
2005; 77.7947998
2004; 77.8351059
2003; 77.94358826
2002; 78.01430511
2001; 78.18437195
2000; 78.12883759
1999; 78.09342194
1998; 78.21643829
1997; 78.39032745
1996; 78.25187683
1995; 78.38417816
1994; 78.4596405
1993; 78.53282928
1992; 78.59738159
1991; 78.63117218
1990; 78.62342072
1989; 78.59400177
1988; 78.65525055
1987; 78.75525665
1986; 78.74822235
1985; 78.79553223
1984; 78.74769592
1983; 78.79806519
1982; 78.75166321
1981; 78.78530121
1980; 78.80470276
1979; 78.77733612
1978; 78.74778748
1977; 78.91332245
1976; 78.72950745
1975; 78.85062408
1974; 78.78995514
1973; 78.77526093
1972; 78.78296661
1971; 78.85634613
1970; 78.82610321
1969; 78.70503998
1968; 78.80614471
1967; 78.7526474
1966; 78.75196075
1965; 78.73390961
1964; 78.74934387
1963; 78.75100708
1962; 78.77828217
1961; 78.7121048
1960; 78.68945313
1959; 78.78496552
1958; 78.77735138
1957; 78.64520264
1956; 78.72818756
1955; 78.70615387
1954; 78.66073608
1953; 78.70746613
1952; 78.64803314
1951; 78.67539215
1950; 78.67242432
1949; 78.57601166
1948; 78.60380554
1947; 78.57778931
1946; 78.52125549
1945; 78.61177063
1944; 78.62514496
1943; 78.49358368
1942; 78.59542084
1941; 78.57026672
1940; 78.4980545
1939; 78.50415802
1938; 78.45264435
1937; 78.49531555
1936; 78.49019623
1935; 78.45283508
1934; 78.36636353
1933; 78.44187164
1932; 78.46886444
1931; 78.45079041
1930; 78.48907471
1929; 78.40203857
1928; 78.4982605
1927; 78.50671387
1926; 78.41758728
1925; 78.43032837
1924; 78.54443359
1923; 78.55989838
1922; 78.57740784
1921; 78.53900909
1920; 78.51676941
1919; 78.56449127
1918; 78.61042023
1917; 78.64917755
1916; 78.71225739
1915; 78.67687225
1914; 78.68888092
1913; 78.69496155
1912; 78.72111511
1911; 78.89774323
1910; 78.81336975
1909; 78.85894012
1908; 78.85740662
1907; 78.89304352
1906; 78.96848297
1905; 79.02015686
1904; 78.99503326
1903; 79.15343475
1902; 79.14938354
1901; 79.16966248
1900; 79.37618256
1899; 79.25776672
1898; 79.40643311
1897; 79.60023499
1896; 79.54718781
1895; 79.66396332
1894; 79.62438202
1893; 79.80046082
1892; 79.73312378
1891; 79.98923492
1890; 80.03572083
1889; 80.06691742
1888; 80.01247406
1887; 80.08596039
1886; 80.09784698
1885; 80.19235992
1884; 80.1285553
1883; 80.26602173
1882; 80.34539795
1881; 80.193367
1880; 80.29693604
1879; 80.2824173
1878; 80.19903564
1877; 80.20832825
1876; 80.33371735
1875; 80.24642944
1874; 80.23912811
1873; 80.27975464
1872; 80.36458588
1871; 80.32054901
1870; 80.29375458
1869; 80.28753662
1868; 80.37709808
1867; 80.28720856
1866; 80.30283356
1865; 80.26682281
1864; 80.27202606
1863; 80.35211182
1862; 80.21911621
1861; 80.2070694
1860; 80.17912292
1859; 80.21685791
1858; 80.22096252
1857; 80.25933838
1856; 80.170784
1855; 80.04758453
1854; 80.06510162
1853; 79.96653748
1852; 80.02786255
1851; 80.00255585
1850; 79.90375519
1849; 79.92855072
1848; 79.81685638
1847; 79.83386993
1846; 79.77605438
1845; 79.82803345
1844; 79.77601624
1843; 79.6656189
1842; 79.71915436
1841; 79.63855743
1840; 79.71178436
1839; 79.65914917
1838; 79.57817078
1837; 79.66043091
1836; 79.45825195
1835; 79.53220367
1834; 79.50212097
1833; 79.39920044
1832; 79.41384888
1831; 79.37433624
1830; 79.31835938
1829; 79.27297211
1828; 79.33892822
1827; 79.20825195
1826; 79.18460083
1825; 79.26747894
1824; 79.19290924
1823; 79.2729187
1822; 79.23760986
1821; 79.18170929
1820; 79.17070007
1819; 79.18759918
1818; 79.10855103
1817; 79.0663681
1816; 79.16452026
1815; 79.03321075
1814; 78.99738312
1813; 79.05901337
1812; 79.00310516
1811; 79.04840851
1810; 79.14277649
1809; 79.01251984
1808; 79.03431702
1807; 79.01067352
1806; 79.09117126
1805; 78.96768188
1804; 78.93934631
1803; 78.93903351
1802; 78.95506287
1801; 78.94042969
1800; 78.97841644
1799; 78.90402222
1798; 78.92151642
1797; 78.9634552
1796; 78.89431
1795; 78.91418457
1794; 78.83299255
1793; 78.84653473
1792; 78.79724884
1791; 78.77883148
1790; 78.72669983
1789; 78.70348358
1788; 78.68499756
1787; 78.69299316
1786; 78.62935638
1785; 78.49451447
1784; 78.49143982
1783; 78.43618011
1782; 78.39563751
1781; 78.28018951
1780; 78.22562408
1779; 78.13258362
1778; 78.02616882
1777; 77.84679413
1776; 77.75811768
1775; 77.59767914
1774; 77.45973206
1773; 77.345047
1772; 77.30594635
1771; 77.28178406
1770; 77.0921936
1769; 77.04341888
1768; 77.02216339
1767; 77.02091217
1766; 77.01724243
1765; 77.01234436
1764; 77.06305695
1763; 76.93881226
1762; 77.12184906
1761; 76.98007202
1760; 76.99452972
1759; 77.05562592
1758; 76.96872711
1757; 76.96125793
1756; 76.91017914
1755; 76.86754608
1754; 76.81417084
1753; 76.74716187
1752; 76.633255
1751; 76.48461151
1750; 76.28939819
1749; 76.20986938
1748; 76.04128265
1747; 75.91725159
1746; 75.66923523
1745; 75.44832611
1744; 75.30469513
1743; 75.15126801
1742; 74.91184235
1741; 74.67406464
1740; 74.47525787
1739; 74.43584442
